"type_maison","commodites","localite","loyer","telephone","date_publication"
"chambre salon","plafonne","tanghin","20000","79 31 67 00","2023-12-04"
"chambre salon","douche, plafonne, ventile, vitre","rayongo","30000","64 64 52 20","2023-12-04"
"chambre salon","carrele, courcommune, douche, plafonne, vitre","tanghin","37500","69 01 07 75","2023-12-04"
"chambre salon","carrele, courcommune, douche interne, plafonne, ventile","tanghin","35000","69 01 07 75","2023-12-04"
"chambre salon","cour commune, cuisine, vitre","sakoula","150000","79 03 04 58","2023-12-04"
"mini villa","chauffe eau, cuisine, douche, garage, placards","sakoula","67849","67 84 90 07","2023-12-04"
"chambre salon","cour commune, cuisine, douche","nagrin","35000","74 05 32 53","2023-12-04"
"chambre salon","douche","garghin","20000","74 05 32 53","2023-12-04"
"villa","cuisine, douche","noncin","50000","64 64 52 20","2023-12-04"
"chambre salon","carrele, courcommune, douche, plafonne, ventile","tanghin","25000","69 01 07 75","2023-12-04"
"chambre salon","douche interne, plafonne, ventile, vitre","tanghin","35000","79 31 67 00","2023-12-04"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","90000","69 01 07 75","2023-12-04"
"chambre salon","cuisine, douche, garage, plafonne","tanghin","75000","70 19 44 35","2023-12-04"
"chambre salon","cour commune, cuisine, douche interne","cité azimo","80000","66 92 73 75","2023-12-04"
"chambre salon","carrelee, cour commune, cuisine, douche, plafonnee, ventilee","belle-ville","40000","70 36 73 03","2023-12-04"
"mini villa","2 chambres, carrele, cuisine, douche, ventile, vitre","nioko ii","784275","78 42 75 00","2023-12-04"
"chambre salon","cour commune, cuisine, douche","garghin","30000","74 05 32 53","2023-12-04"
"mini villa","3 chambres, cuisine, douche, garage","garghin","125000","74 05 32 53","2023-12-04"
"villa","03 chambres, climatise, cour unique, cuisine, douche, garage, placard, ventile, vitre","kossodo","300000","74 05 32 53","2023-12-03"
"mini villa","cour unique, cuisine, douche","nagrin","60000","74 05 32 53","2023-12-03"
"villa","carrele, courunique, cuisine, douche, garage, placards, plafonne, ventile, vitre","sakoula","150000","69 01 07 75","2023-12-03"
"mini villa","cour unique, cuisine, douche","kankamsin","60000","𝟕𝟑 𝟗𝟎 𝟔𝟗 𝟎𝟏","2023-12-03"
"villa","ventilé, Carrellé","université de ouagadougou","80000","75 35 14 39","2023-12-03"
"chambre salon","cour unique, cuisine, douche, plafonne, ventile","cité azimo","50000","64 64 52 20","2023-12-03"
"villa","2 chambres, carrelee, cuisine, douche, plafonnee, ventilee, vitree","tampouy","300000","70 36 73 03","2023-12-03"
"chambre salon","carrelee, cour unique, cuisine, douche, plafonnee, ventilee","toécin","50000","70 36 73 03","2023-12-03"
"chambre salon","carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","40000","69 01 07 75","2023-12-03"
"villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","zone une","125000","69 01 07 75","2023-12-03"
"chambre salon","cuisine, douche, garage, plafonne, ventile","tanghin","50000","79 31 67 00","2023-12-03"
"chambre salon","auvent, carrele, courcommune, douche, plafonne, ventile, vitre","nagrin","40000","69 01 07 75","2023-12-03"
"chambre salon","carrele, plafonne, ventilee","université de ouagadougou","25000","76 62 04 10","2023-12-03"
"duplex","05 chambres, cuisine, garage","cité azimo","600000","74 05 32 53","2023-12-03"
"villa","ventilé, Carrellé","pissy","15000","70 50 08 24","2023-12-03"
"chambre salon","carrelee, cour commune, cuisine, douche, plafonnee, ventilee","marcoussis","30000","70 36 73 03","2023-12-02"
"villa","2 chambres, carrele, cuisine, douche, garage, plafonne, vitre","nioko ii","70000","74 05 32 53","2023-12-02"
"chambre salon","carrelee, cour commune, cuisine, douche, plafonnee, ventilee","kamboincé","40000","70 36 73 03","2023-12-02"
"chambre salon","auvent, carrele, cour commune, cuisine, douche, plafonne, ventile, vitre","kouritenga","40000","74 05 32 53","2023-12-02"
"villa","4 chambres, carrelee, cuisine, douche, plafonnee, ventilee","tampouy","125000","70 36 73 03","2023-12-02"
"villa","4 chambres, carrelee, cuisine, douche, plafonnee, ventilee","tampouy","125000","70 36 73 03","2023-12-02"
"chambre salon","carrele, cuisine, plafonne, ventilee, vitre","université de ouagadougou","75000","76 62 04 10","2023-12-02"
"chambre salon","carrele, courcommune, plafonne, ventile","tanghin","25000","69 01 07 75","2023-12-02"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tampouy","50000","69 01 07 75","2023-12-02"
"chambre salon","ventilé, Carrellé","université de ouagadougou","37500","56 09 47 68","2023-12-02"
"chambre salon","carrele, courcommune, douche, jardin, plafonne, ventile, vitre","kamboincé","50000","69 01 07 75","2023-12-02"
"mini villa","auvent, carrele, climatisee, courunique, cuisine, douche, garage, placards, plafonne, ventile, vitre","tanghin","100000","69 01 07 75","2023-12-02"
"chambre salon","carrelee, cour commune, cuisine, douche, plafonnee, ventilee","marcoussis","30000","70 36 73 03","2023-12-02"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","sakoula","40000","69 01 07 75","2023-12-02"
"mini villa","carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","60000","69 01 07 75","2023-12-02"
"mini villa","2 chambres, cuisine, douche, garage","nabitenga","80000","74 05 32 53","2023-12-01"
"villa","ventilé, Carrellé","bassinko","500375","70 63 16 24","2023-12-01"
